"posicao","temperatura"
3.000000e-05, 7.910082e+02  
9.000000e-05, 7.887894e+02  
1.500000e-04, 7.865741e+02  
2.100000e-04, 7.843622e+02  
2.700000e-04, 7.821538e+02  
3.300000e-04, 7.799487e+02  
3.900000e-04, 7.777472e+02  
4.500000e-04, 7.755490e+02  
5.100000e-04, 7.733544e+02  
5.700000e-04, 7.711631e+02  
6.300000e-04, 7.689753e+02  
6.900000e-04, 7.667909e+02  
7.500000e-04, 7.646100e+02  
8.100000e-04, 7.624325e+02  
8.700000e-04, 7.602585e+02  
9.300000e-04, 7.580878e+02  
9.900000e-04, 7.559207e+02  
1.050000e-03, 7.537569e+02  
1.110000e-03, 7.515966e+02  
1.170000e-03, 7.494398e+02  
1.230000e-03, 7.472863e+02  
1.290000e-03, 7.451363e+02  
1.350000e-03, 7.429898e+02  
1.410000e-03, 7.408466e+02  
1.470000e-03, 7.387069e+02  
1.530000e-03, 7.365707e+02  
1.590000e-03, 7.344378e+02  
1.650000e-03, 7.323084e+02  
1.710000e-03, 7.301825e+02  
1.770000e-03, 7.280599e+02  
1.830000e-03, 7.259408e+02  
1.890000e-03, 7.238251e+02  
1.950000e-03, 7.217128e+02  
2.010000e-03, 7.196040e+02  
2.070000e-03, 7.174986e+02  
2.130000e-03, 7.153966e+02  
2.190000e-03, 7.132980e+02  
2.250000e-03, 7.112028e+02  
2.310000e-03, 7.091111e+02  
2.370000e-03, 7.070227e+02  
2.430000e-03, 7.049378e+02  
2.490000e-03, 7.028563e+02  
2.550000e-03, 7.007782e+02  
2.610000e-03, 6.987036e+02  
2.670000e-03, 6.966323e+02  
2.730000e-03, 6.945644e+02  
2.790000e-03, 6.925000e+02  
2.850000e-03, 6.904390e+02  
2.910000e-03, 6.883813e+02  
2.970000e-03, 6.863271e+02  
3.030000e-03, 6.842762e+02  
3.090000e-03, 6.822288e+02  
3.150000e-03, 6.801847e+02  
3.210000e-03, 6.781441e+02  
3.270000e-03, 6.761068e+02  
3.330000e-03, 6.740730e+02  
3.390000e-03, 6.720425e+02  
3.450000e-03, 6.700154e+02  
3.510000e-03, 6.679917e+02  
3.570000e-03, 6.659714e+02  
3.630000e-03, 6.639544e+02  
3.690000e-03, 6.619409e+02  
3.750000e-03, 6.599307e+02  
3.810000e-03, 6.579239e+02  
3.870000e-03, 6.559205e+02  
3.930000e-03, 6.539204e+02  
3.990000e-03, 6.519237e+02  
4.050000e-03, 6.499304e+02  
4.110000e-03, 6.479404e+02  
4.170000e-03, 6.459538e+02  
4.230000e-03, 6.439706e+02  
4.290000e-03, 6.419907e+02  
4.350000e-03, 6.400141e+02  
4.410000e-03, 6.380410e+02  
4.470000e-03, 6.360711e+02  
4.530000e-03, 6.341047e+02  
4.590000e-03, 6.321415e+02  
4.650000e-03, 6.301817e+02  
4.710000e-03, 6.282253e+02  
4.770000e-03, 6.262722e+02  
4.830000e-03, 6.243224e+02  
4.890000e-03, 6.223759e+02  
4.950000e-03, 6.204328e+02  
5.010000e-03, 6.184930e+02  
5.070000e-03, 6.165566e+02  
5.130000e-03, 6.146234e+02  
5.190000e-03, 6.126936e+02  
5.250000e-03, 6.107671e+02  
5.310000e-03, 6.088439e+02  
5.370000e-03, 6.069240e+02  
5.430000e-03, 6.050074e+02  
5.490000e-03, 6.030941e+02  
5.550000e-03, 6.011841e+02  
5.610000e-03, 5.992774e+02  
5.670000e-03, 5.973740e+02  
5.730000e-03, 5.954739e+02  
5.790000e-03, 5.935771e+02  
5.850000e-03, 5.916835e+02  
5.910000e-03, 5.897933e+02  
5.970000e-03, 5.879063e+02  
6.030000e-03, 5.860226e+02  
6.090000e-03, 5.841422e+02  
6.150000e-03, 5.822650e+02  
6.210000e-03, 5.803911e+02  
6.270000e-03, 5.785205e+02  
6.330000e-03, 5.766531e+02  
6.390000e-03, 5.747889e+02  
6.450000e-03, 5.729281e+02  
6.510000e-03, 5.710704e+02  
6.570000e-03, 5.692160e+02  
6.630000e-03, 5.673649e+02  
6.690000e-03, 5.655170e+02  
6.750000e-03, 5.636723e+02  
6.810000e-03, 5.618308e+02  
6.870000e-03, 5.599926e+02  
6.930000e-03, 5.581576e+02  
6.990000e-03, 5.563258e+02  
7.050000e-03, 5.544972e+02  
7.110000e-03, 5.526718e+02  
7.170000e-03, 5.508497e+02  
7.230000e-03, 5.490307e+02  
7.290000e-03, 5.472149e+02  
7.350000e-03, 5.454023e+02  
7.410000e-03, 5.435929e+02  
7.470000e-03, 5.417867e+02  
7.530000e-03, 5.399837e+02  
7.590000e-03, 5.381839e+02  
7.650000e-03, 5.363872e+02  
7.710000e-03, 5.345937e+02  
7.770000e-03, 5.328033e+02  
7.830000e-03, 5.310161e+02  
7.890000e-03, 5.292321e+02  
7.950000e-03, 5.274512e+02  
8.010000e-03, 5.256735e+02  
8.070000e-03, 5.238989e+02  
8.130000e-03, 5.221274e+02  
8.190000e-03, 5.203591e+02  
8.250000e-03, 5.185939e+02  
8.310000e-03, 5.168319e+02  
8.370000e-03, 5.150729e+02  
8.430000e-03, 5.133171e+02  
8.490000e-03, 5.115643e+02  
8.550000e-03, 5.098147e+02  
8.610000e-03, 5.080682e+02  
8.670000e-03, 5.063248e+02  
8.730000e-03, 5.045844e+02  
8.790000e-03, 5.028472e+02  
8.850000e-03, 5.011130e+02  
8.910000e-03, 4.993820e+02  
8.970000e-03, 4.976539e+02  
9.030000e-03, 4.959290e+02  
9.090000e-03, 4.942071e+02  
9.150000e-03, 4.924883e+02  
9.210000e-03, 4.907725e+02  
9.270000e-03, 4.890598e+02  
9.330000e-03, 4.873501e+02  
9.390000e-03, 4.856434e+02  
9.450000e-03, 4.839398e+02  
9.510000e-03, 4.822392e+02  
9.570000e-03, 4.805417e+02  
9.630000e-03, 4.788471e+02  
9.690000e-03, 4.771556e+02  
9.750000e-03, 4.754670e+02  
9.810000e-03, 4.737815e+02  
9.870000e-03, 4.720990e+02  
9.930000e-03, 4.704194e+02  
9.990000e-03, 4.687429e+02  
1.005000e-02, 4.670693e+02  
1.011000e-02, 4.653987e+02  
1.017000e-02, 4.637310e+02  
1.023000e-02, 4.620663e+02  
1.029000e-02, 4.604046e+02  
1.035000e-02, 4.587458e+02  
1.041000e-02, 4.570900e+02  
1.047000e-02, 4.554371e+02  
1.053000e-02, 4.537872e+02  
1.059000e-02, 4.521402e+02  
1.065000e-02, 4.504961e+02  
1.071000e-02, 4.488549e+02  
1.077000e-02, 4.472166e+02  
1.083000e-02, 4.455813e+02  
1.089000e-02, 4.439488e+02  
1.095000e-02, 4.423192e+02  
1.101000e-02, 4.406926e+02  
1.107000e-02, 4.390688e+02  
1.113000e-02, 4.374479e+02  
1.119000e-02, 4.358298e+02  
1.125000e-02, 4.342146e+02  
1.131000e-02, 4.326023e+02  
1.137000e-02, 4.309928e+02  
1.143000e-02, 4.293862e+02  
1.149000e-02, 4.277824e+02  
1.155000e-02, 4.261815e+02  
1.161000e-02, 4.245834e+02  
1.167000e-02, 4.229881e+02  
1.173000e-02, 4.213956e+02  
1.179000e-02, 4.198059e+02  
1.185000e-02, 4.182191e+02  
1.191000e-02, 4.166350e+02  
1.197000e-02, 4.150537e+02  
1.203000e-02, 4.134752e+02  
1.209000e-02, 4.118995e+02  
1.215000e-02, 4.103265e+02  
1.221000e-02, 4.087564e+02  
1.227000e-02, 4.071889e+02  
1.233000e-02, 4.056243e+02  
1.239000e-02, 4.040624e+02  
1.245000e-02, 4.025032e+02  
1.251000e-02, 4.009467e+02  
1.257000e-02, 3.993930e+02  
1.263000e-02, 3.978420e+02  
1.269000e-02, 3.962937e+02  
1.275000e-02, 3.947481e+02  
1.281000e-02, 3.932052e+02  
1.287000e-02, 3.916650e+02  
1.293000e-02, 3.901275e+02  
1.299000e-02, 3.885927e+02  
1.305000e-02, 3.870605e+02  
1.311000e-02, 3.855311e+02  
1.317000e-02, 3.840042e+02  
1.323000e-02, 3.824800e+02  
1.329000e-02, 3.809585e+02  
1.335000e-02, 3.794396e+02  
1.341000e-02, 3.779233e+02  
1.347000e-02, 3.764097e+02  
1.353000e-02, 3.748987e+02  
1.359000e-02, 3.733903e+02  
1.365000e-02, 3.718844e+02  
1.371000e-02, 3.703812e+02  
1.377000e-02, 3.688806e+02  
1.383000e-02, 3.673825e+02  
1.389000e-02, 3.658871e+02  
1.395000e-02, 3.643942e+02  
1.401000e-02, 3.629038e+02  
1.407000e-02, 3.614160e+02  
1.413000e-02, 3.599308e+02  
1.419000e-02, 3.584481e+02  
1.425000e-02, 3.569679e+02  
1.431000e-02, 3.554902e+02  
1.437000e-02, 3.540151e+02  
1.443000e-02, 3.525425e+02  
1.449000e-02, 3.510723e+02  
1.455000e-02, 3.496047e+02  
1.461000e-02, 3.481395e+02  
1.467000e-02, 3.466769e+02  
1.473000e-02, 3.452167e+02  
1.479000e-02, 3.437589e+02  
1.485000e-02, 3.423037e+02  
1.491000e-02, 3.408508e+02  
1.497000e-02, 3.394004e+02  
1.503000e-02, 3.379525e+02  
1.509000e-02, 3.365069e+02  
1.515000e-02, 3.350638e+02  
1.521000e-02, 3.336231e+02  
1.527000e-02, 3.321848e+02  
1.533000e-02, 3.307489e+02  
1.539000e-02, 3.293154e+02  
1.545000e-02, 3.278843e+02  
1.551000e-02, 3.264555e+02  
1.557000e-02, 3.250291e+02  
1.563000e-02, 3.236050e+02  
1.569000e-02, 3.221833e+02  
1.575000e-02, 3.207640e+02  
1.581000e-02, 3.193469e+02  
1.587000e-02, 3.179322e+02  
1.593000e-02, 3.165198e+02  
1.599000e-02, 3.151097e+02  
1.605000e-02, 3.137020e+02  
1.611000e-02, 3.122965e+02  
1.617000e-02, 3.108932e+02  
1.623000e-02, 3.094923e+02  
1.629000e-02, 3.080936e+02  
1.635000e-02, 3.066972e+02  
1.641000e-02, 3.053031e+02  
1.647000e-02, 3.039112e+02  
1.653000e-02, 3.025215e+02  
1.659000e-02, 3.011340e+02  
1.665000e-02, 2.997488e+02  
1.671000e-02, 2.983658e+02  
1.677000e-02, 2.969849e+02  
1.683000e-02, 2.956063e+02  
1.689000e-02, 2.942299e+02  
1.695000e-02, 2.928556e+02  
1.701000e-02, 2.914835e+02  
1.707000e-02, 2.901136e+02  
1.713000e-02, 2.887458e+02  
1.719000e-02, 2.873801e+02  
1.725000e-02, 2.860166e+02  
1.731000e-02, 2.846552e+02  
1.737000e-02, 2.832959e+02  
1.743000e-02, 2.819388e+02  
1.749000e-02, 2.805837e+02  
1.755000e-02, 2.792308e+02  
1.761000e-02, 2.778799e+02  
1.767000e-02, 2.765310e+02  
1.773000e-02, 2.751843e+02  
1.779000e-02, 2.738396e+02  
1.785000e-02, 2.724970e+02  
1.791000e-02, 2.711564e+02  
1.797000e-02, 2.698178e+02  
1.803000e-02, 2.684812e+02  
1.809000e-02, 2.671467e+02  
1.815000e-02, 2.658142e+02  
1.821000e-02, 2.644836e+02  
1.827000e-02, 2.631551e+02  
1.833000e-02, 2.618285e+02  
1.839000e-02, 2.605039e+02  
1.845000e-02, 2.591813e+02  
1.851000e-02, 2.578606e+02  
1.857000e-02, 2.565418e+02  
1.863000e-02, 2.552250e+02  
1.869000e-02, 2.539101e+02  
1.875000e-02, 2.525972e+02  
1.881000e-02, 2.512861e+02  
1.887000e-02, 2.499769e+02  
1.893000e-02, 2.486697e+02  
1.899000e-02, 2.473643e+02  
1.905000e-02, 2.460607e+02  
1.911000e-02, 2.447591e+02  
1.917000e-02, 2.434592e+02  
1.923000e-02, 2.421613e+02  
1.929000e-02, 2.408651e+02  
1.935000e-02, 2.395708e+02  
1.941000e-02, 2.382783e+02  
1.947000e-02, 2.369876e+02  
1.953000e-02, 2.356987e+02  
1.959000e-02, 2.344116e+02  
1.965000e-02, 2.331263e+02  
1.971000e-02, 2.318428e+02  
1.977000e-02, 2.305610e+02  
1.983000e-02, 2.292809e+02  
1.989000e-02, 2.280026e+02  
1.995000e-02, 2.267260e+02  
2.001000e-02, 2.254512e+02  
2.007000e-02, 2.241781e+02  
2.013000e-02, 2.229066e+02  
2.019000e-02, 2.216369e+02  
2.025000e-02, 2.203688e+02  
2.031000e-02, 2.191025e+02  
2.037000e-02, 2.178378e+02  
2.043000e-02, 2.165747e+02  
2.049000e-02, 2.153133e+02  
2.055000e-02, 2.140535e+02  
2.061000e-02, 2.127954e+02  
2.067000e-02, 2.115389e+02  
2.073000e-02, 2.102840e+02  
2.079000e-02, 2.090307e+02  
2.085000e-02, 2.077790e+02  
2.091000e-02, 2.065288e+02  
2.097000e-02, 2.052803e+02  
2.103000e-02, 2.040333e+02  
2.109000e-02, 2.027878e+02  
2.115000e-02, 2.015439e+02  
2.121000e-02, 2.003015e+02  
2.127000e-02, 1.990607e+02  
2.133000e-02, 1.978213e+02  
2.139000e-02, 1.965835e+02  
2.145000e-02, 1.953471e+02  
2.151000e-02, 1.941123e+02  
2.157000e-02, 1.928789e+02  
2.163000e-02, 1.916470e+02  
2.169000e-02, 1.904165e+02  
2.175000e-02, 1.891875e+02  
2.181000e-02, 1.879599e+02  
2.187000e-02, 1.867337e+02  
2.193000e-02, 1.855090e+02  
2.199000e-02, 1.842857e+02  
2.205000e-02, 1.830637e+02  
2.211000e-02, 1.818432e+02  
2.217000e-02, 1.806240e+02  
2.223000e-02, 1.794062e+02  
2.229000e-02, 1.781897e+02  
2.235000e-02, 1.769746e+02  
2.241000e-02, 1.757608e+02  
2.247000e-02, 1.745483e+02  
2.253000e-02, 1.733372e+02  
2.259000e-02, 1.721274e+02  
2.265000e-02, 1.709188e+02  
2.271000e-02, 1.697116e+02  
2.277000e-02, 1.685056e+02  
2.283000e-02, 1.673009e+02  
2.289000e-02, 1.660975e+02  
2.295000e-02, 1.648953e+02  
2.301000e-02, 1.636943e+02  
2.307000e-02, 1.624946e+02  
2.313000e-02, 1.612960e+02  
2.319000e-02, 1.600987e+02  
2.325000e-02, 1.589026e+02  
2.331000e-02, 1.577076e+02  
2.337000e-02, 1.565139e+02  
2.343000e-02, 1.553213e+02  
2.349000e-02, 1.541298e+02  
2.355000e-02, 1.529395e+02  
2.361000e-02, 1.517504e+02  
2.367000e-02, 1.505623e+02  
2.373000e-02, 1.493754e+02  
2.379000e-02, 1.481896e+02  
2.385000e-02, 1.470048e+02  
2.391000e-02, 1.458212e+02  
2.397000e-02, 1.446386e+02  
2.403000e-02, 1.434571e+02  
2.409000e-02, 1.422766e+02  
2.415000e-02, 1.410972e+02  
2.421000e-02, 1.399188e+02  
2.427000e-02, 1.387415e+02  
2.433000e-02, 1.375651e+02  
2.439000e-02, 1.363898e+02  
2.445000e-02, 1.352154e+02  
2.451000e-02, 1.340420e+02  
2.457000e-02, 1.328696e+02  
2.463000e-02, 1.316981e+02  
2.469000e-02, 1.305276e+02  
2.475000e-02, 1.293581e+02  
2.481000e-02, 1.281894e+02  
2.487000e-02, 1.270217e+02  
2.493000e-02, 1.258549e+02  
2.499000e-02, 1.246890e+02  
2.505000e-02, 1.235240e+02  
2.511000e-02, 1.223598e+02  
2.517000e-02, 1.211965e+02  
2.523000e-02, 1.200341e+02  
2.529000e-02, 1.188725e+02  
2.535000e-02, 1.177118e+02  
2.541000e-02, 1.165518e+02  
2.547000e-02, 1.153927e+02  
2.553000e-02, 1.142344e+02  
2.559000e-02, 1.130769e+02  
2.565000e-02, 1.119201e+02  
2.571000e-02, 1.107642e+02  
2.577000e-02, 1.096090e+02  
2.583000e-02, 1.084545e+02  
2.589000e-02, 1.073008e+02  
2.595000e-02, 1.061478e+02  
2.601000e-02, 1.049955e+02  
2.607000e-02, 1.038440e+02  
2.613000e-02, 1.026931e+02  
2.619000e-02, 1.015429e+02  
2.625000e-02, 1.003934e+02  
2.631000e-02, 9.924459e+01  
2.637000e-02, 9.809641e+01  
2.643000e-02, 9.694887e+01  
2.649000e-02, 9.580197e+01  
2.655000e-02, 9.465569e+01  
2.661000e-02, 9.351002e+01  
2.667000e-02, 9.236496e+01  
2.673000e-02, 9.122048e+01  
2.679000e-02, 9.007659e+01  
2.685000e-02, 8.893327e+01  
2.691000e-02, 8.779050e+01  
2.697000e-02, 8.664829e+01  
2.703000e-02, 8.550661e+01  
2.709000e-02, 8.436546e+01  
2.715000e-02, 8.322482e+01  
2.721000e-02, 8.208469e+01  
2.727000e-02, 8.094506e+01  
2.733000e-02, 7.980591e+01  
2.739000e-02, 7.866723e+01  
2.745000e-02, 7.752902e+01  
2.751000e-02, 7.639126e+01  
2.757000e-02, 7.525395e+01  
2.763000e-02, 7.411706e+01  
2.769000e-02, 7.298059e+01  
2.775000e-02, 7.184453e+01  
2.781000e-02, 7.070888e+01  
2.787000e-02, 6.957360e+01  
2.793000e-02, 6.843871e+01  
2.799000e-02, 6.730419e+01  
2.805000e-02, 6.617001e+01  
2.811000e-02, 6.503619e+01  
2.817000e-02, 6.390270e+01  
2.823000e-02, 6.276953e+01  
2.829000e-02, 6.163667e+01  
2.835000e-02, 6.050412e+01  
2.841000e-02, 5.937186e+01  
