"posicao","temperatura"
1.500000e-04, 4.732168e+02  
4.500000e-04, 4.622807e+02  
7.500000e-04, 4.515195e+02  
1.050000e-03, 4.409330e+02  
1.350000e-03, 4.305211e+02  
1.650000e-03, 4.202834e+02  
1.950000e-03, 4.102197e+02  
2.250000e-03, 4.003295e+02  
2.550000e-03, 3.906124e+02  
2.850000e-03, 3.810677e+02  
3.150000e-03, 3.716949e+02  
3.450000e-03, 3.624934e+02  
3.750000e-03, 3.534623e+02  
4.050000e-03, 3.446008e+02  
4.350000e-03, 3.359081e+02  
4.650000e-03, 3.273833e+02  
4.950000e-03, 3.190252e+02  
5.250000e-03, 3.108330e+02  
5.550000e-03, 3.028055e+02  
5.850000e-03, 2.949414e+02  
6.150000e-03, 2.872396e+02  
6.450000e-03, 2.796988e+02  
6.750000e-03, 2.723177e+02  
7.050000e-03, 2.650947e+02  
7.350000e-03, 2.580286e+02  
7.650000e-03, 2.511178e+02  
7.950000e-03, 2.443607e+02  
8.250000e-03, 2.377558e+02  
8.550000e-03, 2.313015e+02  
8.850000e-03, 2.249960e+02  
9.150000e-03, 2.188376e+02  
9.450000e-03, 2.128246e+02  
9.750000e-03, 2.069551e+02  
1.005000e-02, 2.012274e+02  
1.035000e-02, 1.956395e+02  
1.065000e-02, 1.901896e+02  
1.095000e-02, 1.848756e+02  
1.125000e-02, 1.796957e+02  
1.155000e-02, 1.746478e+02  
1.185000e-02, 1.697299e+02  
1.215000e-02, 1.649399e+02  
1.245000e-02, 1.602758e+02  
1.275000e-02, 1.557354e+02  
1.305000e-02, 1.513167e+02  
1.335000e-02, 1.470175e+02  
1.365000e-02, 1.428355e+02  
1.395000e-02, 1.387688e+02  
1.425000e-02, 1.348150e+02  
1.455000e-02, 1.309720e+02  
1.485000e-02, 1.272376e+02  
1.515000e-02, 1.236095e+02  
1.545000e-02, 1.200855e+02  
1.575000e-02, 1.166633e+02  
1.605000e-02, 1.133408e+02  
1.635000e-02, 1.101156e+02  
1.665000e-02, 1.069856e+02  
1.695000e-02, 1.039484e+02  
1.725000e-02, 1.010018e+02  
1.755000e-02, 9.814360e+01  
1.785000e-02, 9.537146e+01  
1.815000e-02, 9.268316e+01  
1.845000e-02, 9.007644e+01  
1.875000e-02, 8.754907e+01  
1.905000e-02, 8.509879e+01  
1.935000e-02, 8.272338e+01  
1.965000e-02, 8.042060e+01  
1.995000e-02, 7.818824e+01  
2.025000e-02, 7.602406e+01  
2.055000e-02, 7.392588e+01  
2.085000e-02, 7.189147e+01  
2.115000e-02, 6.991867e+01  
2.145000e-02, 6.800528e+01  
2.175000e-02, 6.614912e+01  
2.205000e-02, 6.434805e+01  
2.235000e-02, 6.259990e+01  
2.265000e-02, 6.090254e+01  
2.295000e-02, 5.925383e+01  
2.325000e-02, 5.765165e+01  
2.355000e-02, 5.609389e+01  
2.385000e-02, 5.457844e+01  
2.415000e-02, 5.310322e+01  
2.445000e-02, 5.166615e+01  
2.475000e-02, 5.026514e+01  
2.505000e-02, 4.889815e+01  
2.535000e-02, 4.756312e+01  
2.565000e-02, 4.625800e+01  
2.595000e-02, 4.498075e+01  
2.625000e-02, 4.372936e+01  
2.655000e-02, 4.250180e+01  
2.685000e-02, 4.129606e+01  
2.715000e-02, 4.011013e+01  
2.745000e-02, 3.894201e+01  
2.775000e-02, 3.778971e+01  
2.805000e-02, 3.665125e+01  
2.835000e-02, 3.552462e+01  
2.865000e-02, 3.440787e+01  
2.895000e-02, 3.329900e+01  
2.925000e-02, 3.219605e+01  
2.955000e-02, 3.109704e+01  
2.985000e-02, 3.000000e+01  
